Date,0
1987-09-18,0.032922
1987-12-14,0.028971
1987-12-14,0.028971
1987-12-14,0.028971
1988-12-13,0.030947
1988-12-13,0.030947
1988-12-13,0.030947
1988-12-13,0.030947
1989-12-12,0.030947
1989-12-12,0.030947
1989-12-12,0.030947
1989-12-12,0.030947
1990-12-14,0.035556
1990-12-14,0.035556
1990-12-14,0.035556
1990-12-14,0.035556
1991-12-03,0.037531
1991-12-03,0.037531
1991-12-03,0.037531
1991-12-03,0.037531
1992-07-01,0.019753
1992-12-08,0.021728
1992-12-08,0.021728
1992-12-08,0.021728
1993-07-01,0.021728
1993-12-09,0.023704
1993-12-09,0.023704
1993-12-09,0.023704
1994-07-05,0.023704
1994-12-27,0.026337
1994-12-27,0.026337
1994-12-27,0.026337
1995-07-10,0.026337
1995-12-28,0.014486
1995-12-28,0.014486
1995-12-28,0.014486
1996-07-03,0.014815
1996-12-30,0.01679
1996-12-30,0.01679
1996-12-30,0.01679
1997-07-07,0.01679
1997-12-30,0.019753
1997-12-30,0.019753
1997-12-30,0.019753
1998-06-29,0.02
1998-07-02,0.02
1998-12-30,0.022222
1998-12-30,0.022222
1999-07-07,0.022222
1999-07-07,0.022222
1999-07-07,0.022222
1999-07-07,0.022222
2000-01-05,0.05037
2000-07-05,0.05037
2000-07-05,0.05037
2000-07-05,0.05037
2001-01-03,0.056296
2001-07-05,0.056296
2001-07-05,0.056296
2001-07-05,0.056296
2002-01-02,0.063704
2002-07-03,0.063704
2002-12-31,0.075556
2002-12-31,0.075556
2003-07-02,0.075556
2003-12-30,0.08
2003-12-30,0.08
2003-12-30,0.08
2004-07-01,0.08
2004-12-30,0.093333
2004-12-30,0.093333
2004-12-30,0.093333
2005-06-30,0.093333
2005-06-30,0.093333
2005-06-30,0.093333
2005-06-30,0.093333
2006-01-06,0.1
2006-06-30,0.1
2007-01-05,0.122222
2007-04-03,0.062222
2007-06-29,0.062222
2007-09-28,0.066667
2007-12-27,0.066667
2008-03-27,0.066667
2008-06-26,0.066667
2008-09-26,0.08
2008-12-29,0.08
2009-03-26,0.08
2009-06-24,0.08
2009-09-30,0.088889
2009-12-29,0.088889
2010-03-11,0.088889
2010-06-24,0.088889
2010-10-01,0.097778
2010-12-29,0.097778
2011-03-16,0.097778
2011-07-01,0.097778
2011-10-04,0.102222
2011-12-29,0.102222
2012-03-15,0.102222
2012-07-02,0.102222
2012-10-01,0.111111
2012-11-26,0.111111
2013-03-12,0.111111
2013-07-02,0.111111
2013-10-01,0.115556
2013-12-30,0.115556
2014-03-07,0.115556
2014-06-27,0.115556
2014-09-29,0.124444
2015-01-05,0.126667
2015-03-16,0.126667
2015-06-29,0.126667
2015-09-28,0.133333
2015-12-24,0.133333
2016-03-16,0.133333
2016-06-30,0.133333
2016-10-03,0.14
2016-12-29,0.14
2017-03-15,0.14
2017-07-06,0.14
2017-10-10,0.15
2017-12-28,0.15
2018-03-15,0.15
2018-07-09,0.15
2018-10-09,0.17
2018-10-09,0.17
2019-01-02,0.17
2019-03-11,0.17
2019-07-11,0.17
2019-10-08,0.18
2020-01-07,0.18
2020-03-16,0.18
2020-07-08,0.18
2020-10-09,0.19
