Date,0
1997-02-06,0.125
1997-05-08,0.135
1997-08-07,0.135
1997-11-06,0.135
1998-02-05,0.135
1998-05-07,0.15
1998-08-06,0.15
1998-11-05,0.15
1999-02-04,0.15
1999-05-06,0.16
1999-08-12,0.16
1999-11-04,0.16
2000-02-03,0.16
2000-05-04,0.17
2000-08-10,0.17
2000-11-02,0.17
2001-02-08,0.17
2001-05-03,0.175
2001-08-09,0.175
2001-11-07,0.175
2002-02-07,0.175
2002-05-02,0.18
2002-08-08,0.18
2002-11-06,0.18
2003-02-06,0.18
2003-05-08,0.185
2003-08-07,0.185
2003-11-06,0.185
2004-02-05,0.185
2004-05-06,0.2
2004-08-05,0.2
2004-11-04,0.2
2005-02-03,0.2
2005-05-05,0.24
2005-08-04,0.24
2005-11-09,0.24
2006-02-09,0.24
2006-05-04,0.29
2006-08-10,0.29
2006-11-09,0.29
2007-02-08,0.29
2007-05-10,0.35
2007-08-09,0.35
2007-11-07,0.35
2008-02-07,0.35
2008-05-08,0.4
2008-08-07,0.4
2008-11-06,0.4
2009-02-05,0.4
2009-05-07,0.46
2009-08-06,0.46
2009-11-05,0.46
2010-02-04,0.46
2010-05-06,0.54
2010-08-05,0.54
2010-11-04,0.54
2011-02-10,0.54
2011-05-05,0.66
2011-08-04,0.66
2011-11-09,0.66
2012-02-09,0.66
2012-05-10,0.8
2012-08-09,0.8
2012-11-07,0.8
2013-02-07,0.8
2013-05-09,0.93
2013-08-08,0.93
2013-11-06,0.93
2014-02-06,0.93
2014-05-08,1.08
2014-08-07,1.08
2014-11-06,1.08
2015-02-05,1.08
2015-05-07,1.17
2015-08-06,1.17
2015-11-05,1.17
2016-02-04,1.17
2016-05-05,1.22
2016-08-04,1.22
2016-11-09,1.22
2017-02-09,1.22
2017-05-04,1.28
2017-08-10,1.28
2017-11-10,1.28
2018-02-09,1.28
2018-05-11,1.36
2018-08-10,1.36
2018-11-08,1.36
2019-02-08,1.36
2019-05-10,1.44
2019-08-09,1.44
2019-11-07,1.44
2020-02-07,1.44
2020-05-08,1.44
2020-08-07,1.53
2020-11-06,1.53
