Date,0
1983-09-26,0.003333
1983-12-23,0.003333
1983-12-23,0.003333
1983-12-23,0.003333
1984-03-26,0.00375
1984-06-25,0.00375
1984-09-24,0.00375
1984-12-24,0.00375
1985-03-25,0.004167
1985-06-24,0.004167
1985-09-24,0.004167
1985-12-24,0.004167
1986-03-24,0.004583
1986-06-24,0.005
1986-09-24,0.005
1986-12-24,0.005
1987-03-25,0.005625
1987-06-24,0.005625
1987-09-24,0.005625
1987-12-24,0.005625
1988-03-25,0.00625
1988-06-24,0.00625
1988-09-26,0.00625
1988-12-23,0.00625
1989-03-27,0.006875
1989-06-26,0.006875
1989-09-25,0.006875
1989-12-22,0.006875
1990-03-26,0.0075
1990-06-25,0.0075
1990-09-24,0.0075
1990-12-24,0.0075
1991-03-22,0.008125
1991-06-24,0.008125
1991-09-24,0.008125
1991-12-24,0.008125
1992-03-25,0.00875
1992-06-24,0.00875
1992-09-24,0.00875
1992-12-24,0.00875
1993-03-25,0.01
1993-06-24,0.01
1993-09-24,0.01
1993-12-27,0.01
1994-03-25,0.01125
1994-06-24,0.01125
1994-09-26,0.01125
1994-12-23,0.01125
1995-03-27,0.0175
1995-06-28,0.0175
1995-09-27,0.0175
1995-12-27,0.0175
1996-03-27,0.02
1996-06-26,0.02
1996-09-26,0.02
1996-12-27,0.02
1997-03-26,0.025
1997-06-26,0.025
1997-09-26,0.025
1997-12-29,0.025
1998-03-27,0.03
1998-06-26,0.03
1998-09-28,0.03
1998-12-29,0.03
1999-03-29,0.0325
1999-06-28,0.0325
1999-09-28,0.0325
1999-12-29,0.0325
2000-03-29,0.0375
2000-06-28,0.0375
2000-09-27,0.0375
2000-12-27,0.0375
2001-03-28,0.0425
2001-06-27,0.0425
2001-09-26,0.0425
2001-12-26,0.0425
2002-03-26,0.0475
2002-06-26,0.0475
2002-09-25,0.0475
2002-12-27,0.0475
2003-03-27,0.05
2003-06-26,0.05
2003-09-26,0.05
2003-12-29,0.05
2004-03-29,0.0525
2004-06-28,0.0525
2004-09-28,0.065
2004-12-29,0.065
2005-03-29,0.125
2005-06-28,0.125
2005-09-28,0.2
2005-12-28,0.325
2006-03-29,0.25
2006-06-28,0.6
2006-09-27,0.6
2006-12-27,0.6
2007-03-28,0.61
2007-06-27,0.61
2007-09-26,0.61
2007-12-27,0.61
2008-03-26,0.52
2008-06-26,0.52
2008-09-26,0.52
2008-12-29,0.35
2009-03-27,0.35
2009-06-26,0.35
2009-09-28,0.35
2009-12-29,0.36
2010-03-29,0.36
2010-06-28,0.36
2010-09-28,0.36
2010-12-29,0.363
2011-03-29,0.363
2011-06-28,0.363
2011-09-28,0.363
2011-12-28,0.365
2012-03-28,0.365
2012-06-27,0.365
2012-09-26,0.365
2012-12-27,0.367
2013-03-26,0.367
2013-06-26,0.367
2013-09-25,0.368
2013-12-27,0.37
2014-03-27,0.37
2014-06-26,0.37
2014-09-26,0.37
2014-12-29,0.372
2015-03-27,0.372
2015-06-26,0.373
2015-09-28,0.373
2015-12-29,0.375
2016-03-29,0.375
2016-06-28,0.375
2016-09-28,0.375
2016-12-28,0.378
2017-03-29,0.378
2017-06-28,0.378
2017-09-28,0.378
2017-12-28,0.38
2018-03-28,0.38
2018-06-28,0.38
2018-09-27,0.38
2018-12-28,0.4
2019-03-28,0.4
2019-06-27,0.4
2019-09-26,0.4
2019-12-30,0.403
2020-03-30,0.403
2020-06-29,0.403
2020-09-29,0.403
2020-12-30,0.405
