Date,0
1997-02-19,0.03
1997-05-20,0.03
1997-08-19,0.03
1997-11-13,0.0313
1998-02-18,0.0313
1998-05-20,0.0313
1998-08-19,0.0313
1998-11-12,0.0325
1999-02-18,0.0325
1999-05-19,0.0325
1999-08-18,0.0325
1999-11-10,0.0338
2000-02-16,0.0338
2000-05-17,0.0337
2000-08-16,0.0338
2000-11-09,0.035
2001-02-14,0.035
2001-05-16,0.035
2001-08-15,0.035
2001-11-14,0.0363
2002-02-13,0.03625
2002-02-14,0.0363
2002-05-17,0.0363
2002-08-16,0.0363
2002-11-14,0.0375
2003-02-13,0.0375
2003-05-19,0.0375
2003-08-18,0.0431
2003-11-13,0.0431
2004-02-17,0.0431
2004-05-19,0.0431
2004-08-18,0.0525
2004-11-10,0.0525
2005-02-16,0.0525
2005-05-18,0.0525
2005-08-17,0.065
2005-11-09,0.065
2006-02-15,0.065
2006-05-17,0.065
2006-08-16,0.0775
2006-11-09,0.0775
2007-02-14,0.0775
2007-05-16,0.0775
2007-08-16,0.095
2007-11-07,0.095
2008-02-14,0.095
2008-05-19,0.095
2008-08-18,0.1125
2008-11-13,0.1125
2009-02-13,0.1125
2009-05-19,0.1125
2009-08-19,0.1375
2009-11-12,0.1375
2010-02-16,0.1375
2010-05-18,0.1375
2010-08-17,0.175
2010-11-10,0.175
2011-02-16,0.175
2011-05-18,0.175
2011-08-17,0.225
2011-11-09,0.225
2012-02-15,0.225
2012-05-17,0.225
2012-08-15,0.275
2012-11-07,0.275
2013-02-13,0.275
2013-05-17,0.275
2013-08-16,0.315
2013-11-14,0.315
2014-02-13,0.315
2014-05-19,0.315
2014-08-19,0.3375
2014-11-13,0.3375
2015-02-13,0.3375
2015-05-19,0.3375
2015-08-17,0.36
2015-11-12,0.36
2016-02-16,0.36
2016-05-16,0.36
2016-08-17,0.375
2016-11-15,0.375
2017-02-13,0.375
2017-05-16,0.375
2017-08-16,0.4
2017-11-10,0.4
2018-02-14,0.4
2018-05-17,0.4
2018-08-17,0.44
2018-11-08,0.44
2019-02-14,0.44
2019-05-16,0.44
2019-05-17,0.44
2019-08-19,0.4575
2019-11-15,0.4575
2020-02-18,0.4575
2020-05-19,0.4575
2020-08-18,0.4675
2020-11-18,0.4675
