Date,0
1997-03-12,0.165
1997-06-11,0.165
1997-09-10,0.17
1997-12-10,0.175
1998-03-11,0.175
1998-06-10,0.18
1998-09-09,0.19
1998-12-09,0.2
1999-03-10,0.2
1999-06-09,0.2
1999-09-08,0.21
1999-12-08,0.21
2000-03-08,0.21
2000-06-07,0.21
2000-09-06,0.21
2000-12-06,0.21
2001-03-07,0.22
2001-06-06,0.23
2001-09-12,0.23
2001-12-12,0.23
2002-03-06,0.23
2002-06-12,0.23
2002-09-11,0.24
2002-12-11,0.25
2003-03-12,0.25
2003-06-11,0.25
2003-09-10,0.25
2003-12-10,0.25
2004-03-10,0.25
2004-06-09,0.25
2004-09-08,0.26
2004-12-08,0.26
2005-03-09,0.26
2005-06-08,0.26
2005-09-07,0.26
2005-12-07,0.27
2006-03-08,0.27
2006-06-07,0.27
2006-09-06,0.27
2006-12-06,0.28
2007-03-07,0.28
2007-06-06,0.28
2007-09-12,0.28
2007-12-12,0.29
2008-03-12,0.29
2008-06-11,0.29
2008-09-10,0.29
2008-12-10,0.29
2009-03-11,0.29
2009-06-10,0.29
2009-09-09,0.29
2009-12-09,0.3
2010-03-10,0.3
2010-06-09,0.3
2010-09-08,0.3
2010-12-08,0.3
2011-03-09,0.3
2011-06-08,0.3
2011-09-07,0.3
2011-12-07,0.31
2012-03-07,0.31
2012-06-06,0.31
2012-09-12,0.31
2012-12-12,0.31
2013-03-06,0.31
2013-06-12,0.31
2013-09-11,0.31
2013-12-11,0.32
2014-03-12,0.32
2014-06-11,0.32
2014-09-10,0.32
2014-12-10,0.32
2015-03-11,0.32
2015-06-10,0.32
2015-09-09,0.32
2015-12-09,0.33
2016-03-09,0.33
2016-06-08,0.33
2016-09-07,0.33
2016-12-07,0.33
2017-03-08,0.33
2017-06-07,0.33
2017-09-07,0.33
2017-12-07,0.34
2018-03-08,0.34
2018-06-07,0.34
2018-09-13,0.34
2018-12-13,0.34
2019-03-07,0.34
2019-06-13,0.34
2019-09-12,0.34
2019-12-12,0.35
2020-03-12,0.35
2020-03-13,0.35
2020-06-11,0.35
2020-09-10,0.35
2020-12-10,0.35
