Date,0
1997-02-13,0.165
1997-05-08,0.165
1997-08-07,0.165
1997-11-06,0.17
1998-02-12,0.17
1998-05-07,0.18
1998-08-06,0.18
1998-11-06,0.18
1999-02-11,0.19
1999-05-06,0.19
1999-08-06,0.19
1999-11-08,0.19
2000-02-17,0.2
2000-05-08,0.2
2000-08-08,0.2
2000-11-08,0.2
2001-02-15,0.21
2001-05-08,0.21
2001-08-08,0.21
2001-11-07,0.21
2002-02-14,0.21
2002-05-08,0.21
2002-08-08,0.215
2002-11-07,0.215
2003-02-13,0.215
2003-05-08,0.215
2003-08-07,0.215
2003-11-06,0.22
2004-02-12,0.22
2004-05-06,0.225
2004-08-06,0.225
2004-11-08,0.225
2005-02-17,0.225
2005-05-06,0.235
2005-08-08,0.235
2005-11-08,0.235
2006-02-15,0.235
2006-05-08,0.24
2006-08-08,0.24
2006-11-08,0.24
2007-02-14,0.25
2007-05-08,0.25
2007-08-08,0.26
2007-11-07,0.26
2008-02-20,0.26
2008-05-08,0.26
2008-08-07,0.26
2008-11-06,0.265
2009-02-18,0.265
2009-05-07,0.265
2009-08-06,0.265
2009-11-06,0.27
2010-02-17,0.27
2010-05-06,0.27
2010-08-06,0.275
2010-11-08,0.275
2011-02-16,0.275
2011-05-06,0.285
2011-08-08,0.285
2011-11-08,0.285
2012-02-15,0.285
2012-05-08,0.295
2012-08-08,0.295
2012-11-07,0.295
2013-02-20,0.295
2013-05-08,0.305
2013-08-08,0.305
2013-11-06,0.305
2014-02-19,0.305
2014-05-08,0.335
2014-08-07,0.335
2014-11-06,0.335
2015-02-18,0.335
2015-05-07,0.36
2015-08-06,0.36
2015-11-06,0.36
2016-02-17,0.36
2016-05-06,0.4
2016-08-08,0.4
2016-11-08,0.4
2017-02-15,0.4
2017-05-08,0.4
2017-08-08,0.45
2017-11-09,0.45
2018-02-15,0.45
2018-05-09,0.45
2018-08-09,0.48
2018-11-08,0.48
2019-02-21,0.48
2019-05-09,0.48
2019-08-09,0.51
2019-11-08,0.51
2020-02-20,0.51
2020-05-08,0.51
2020-08-07,0.54
2020-11-09,0.54
