Date,0
1997-06-10,0.0117
1997-12-29,0.0117
1997-12-29,0.0117
1997-12-29,0.0117
1998-06-12,0.01335
1998-12-31,0.01335
1998-12-31,0.01335
1998-12-31,0.01335
1999-06-14,0.0167
1999-06-14,0.0167
1999-06-14,0.0167
1999-06-14,0.0167
2000-01-05,0.0167
2000-06-01,0.02
2000-06-01,0.02
2000-06-01,0.02
2001-01-04,0.02
2001-06-08,0.025
2001-06-08,0.025
2001-06-08,0.025
2002-01-02,0.025
2002-05-23,0.03
2002-12-31,0.03
2002-12-31,0.03
2003-06-05,0.035
2003-06-05,0.035
2003-06-05,0.035
2003-06-05,0.035
2004-01-02,0.045
2004-06-04,0.05
2004-12-31,0.05
2004-12-31,0.05
2005-06-06,0.055
2005-12-29,0.055
2005-12-29,0.055
2005-12-29,0.055
2006-06-06,0.06
2006-12-29,0.06
2006-12-29,0.06
2006-12-29,0.06
2007-06-06,0.07
2007-06-06,0.07
2007-06-06,0.07
2007-06-06,0.07
2008-01-02,0.07
2008-06-13,0.08
2008-06-13,0.08
2008-06-13,0.08
2009-01-02,0.08
2009-06-16,0.08
2009-12-31,0.09
2009-12-31,0.09
2010-06-21,0.1
2010-12-21,0.1
2010-12-21,0.1
2010-12-21,0.1
2011-06-16,0.12
2011-12-23,0.15
2011-12-23,0.15
2011-12-23,0.15
2012-06-14,0.15
2012-12-19,0.32
2012-12-19,0.32
2012-12-19,0.32
2013-06-13,0.2
2013-12-19,0.22
2013-12-19,0.22
2013-12-19,0.22
2014-06-12,0.22
2014-12-18,0.24
2014-12-18,0.24
2014-12-18,0.24
2015-01-02,0.24
2015-06-12,0.24
2015-12-17,0.26
2015-12-17,0.26
2016-06-10,0.26
2016-12-22,0.28
2016-12-22,0.28
2016-12-22,0.28
2017-06-05,0.28
2017-12-26,0.3
2017-12-26,0.3
2017-12-26,0.3
2018-06-13,0.3
2018-12-26,0.33
2018-12-26,0.33
2018-12-26,0.33
2019-06-11,0.33
2019-12-26,0.35
2019-12-26,0.35
2019-12-26,0.35
2020-06-12,0.35
2020-12-18,0.37
2020-12-18,0.37
2020-12-18,0.37
