Date,0
1997-02-19,0.0344
1997-05-14,0.0344
1997-08-13,0.0344
1997-11-12,0.0344
1998-02-25,0.0344
1998-05-20,0.0378
1998-08-12,0.0378
1998-11-18,0.0378
1999-02-24,0.0378
1999-05-26,0.0378
1999-08-11,0.0378
1999-11-17,0.0378
2000-02-23,0.0378
2000-05-24,0.04
2000-08-23,0.04
2000-11-15,0.04
2001-02-21,0.04
2001-05-10,0.0467
2001-08-22,0.0467
2001-11-20,0.0467
2002-02-20,0.0467
2002-05-15,0.0567
2002-08-22,0.0567
2002-11-20,0.0567
2003-02-19,0.0567
2003-05-19,0.0667
2003-08-13,0.0667
2003-11-12,1.46
2003-11-13,0.0667
2004-02-18,0.07
2004-05-19,0.1
2004-08-18,0.1
2004-11-17,0.1
2005-02-16,0.1
2005-05-18,0.14
2005-08-17,0.14
2005-11-16,0.14
2006-02-15,0.14
2006-05-18,0.18
2006-08-16,0.18
2006-11-15,0.18
2007-02-14,0.18
2007-05-17,0.22
2007-08-15,0.22
2007-11-14,0.22
2008-02-13,0.22
2008-05-21,0.24
2008-08-13,0.24
2008-11-13,0.24
2009-02-11,0.24
2009-05-20,0.24
2009-08-14,0.24
2009-11-16,0.24
2010-02-11,0.24
2010-05-20,0.25
2010-08-16,0.25
2010-11-16,0.25
2011-02-11,0.25
2011-05-19,0.26
2011-08-16,0.26
2011-11-15,0.26
2012-02-10,0.26
2012-05-17,0.28
2012-08-10,0.28
2012-11-09,0.28
2012-12-12,0.28
2013-02-13,0.28
2013-05-16,0.3
2013-08-15,0.3
2013-11-08,0.3
2014-02-12,0.3
2014-05-16,0.31
2014-08-15,0.31
2014-11-13,0.31
2015-02-10,0.31
2015-05-21,0.32
2015-08-17,0.32
2015-11-19,0.32
2016-02-11,0.32
2016-05-19,0.33
2016-08-16,0.33
2016-11-09,0.33
2017-02-10,0.33
2017-05-19,0.35
2017-08-14,0.35
2017-11-13,0.35
2018-02-13,0.35
2018-05-18,0.38
2018-08-17,0.38
2018-11-13,0.38
2019-02-15,0.38
2019-05-17,0.42
2019-08-19,0.42
2019-11-06,0.42
2020-02-11,0.42
2020-05-21,0.43
2020-08-14,0.43
2020-11-10,0.43
