Date,0
1997-02-27,0.188
1997-05-29,0.195
1997-08-28,0.195
1997-11-26,0.195
1998-02-26,0.195
1998-05-28,0.205
1998-08-28,0.205
1998-11-27,0.205
1999-02-25,0.205
1999-05-27,0.215
1999-08-30,0.215
1999-11-29,0.215
2000-02-28,0.215
2000-05-30,0.225
2000-08-30,0.225
2000-11-29,0.225
2001-02-27,0.225
2001-05-30,0.235
2001-08-29,0.235
2001-11-28,0.235
2002-02-27,0.235
2002-05-29,0.245
2002-08-29,0.245
2002-11-27,0.245
2003-02-26,0.245
2003-05-29,0.255
2003-08-28,0.38
2003-11-26,0.38
2004-02-26,0.38
2004-05-27,0.39
2004-08-30,0.4525
2004-11-29,0.4525
2005-02-25,0.4525
2005-05-27,0.465
2005-08-30,0.465
2005-11-29,0.465
2006-02-27,0.465
2006-05-30,0.48
2006-08-30,0.48
2006-11-29,0.48
2007-02-27,0.48
2007-05-30,0.5
2007-08-29,0.5
2007-11-28,0.5
2008-02-27,0.5
2008-05-29,0.515
2008-08-28,0.515
2008-11-26,0.515
2009-02-26,0.515
2009-05-28,0.5175
2009-08-28,0.5175
2009-11-27,0.5175
2010-02-25,0.5175
2010-05-27,0.5225
2010-08-30,0.5225
2010-11-29,0.5225
2011-02-25,0.5225
2011-05-27,0.5325
2011-08-30,0.5325
2011-11-29,0.5325
2012-02-28,0.5325
2012-05-30,0.5475
2012-08-29,0.5475
2012-11-28,3.5
2013-02-27,0.25
2013-05-29,0.25
2013-08-28,0.25
2013-11-26,0.25
2014-02-26,0.25
2014-05-28,0.2575
2014-08-27,0.2575
2014-11-26,0.2575
2015-02-25,0.2575
2015-05-28,0.2625
2015-08-28,0.2625
2015-11-27,0.2625
2016-02-26,0.2625
2016-05-27,0.2675
2016-08-30,0.2675
2016-11-29,0.2675
2017-02-27,0.2675
2017-05-30,0.2725
2017-08-30,0.2725
2017-11-30,0.165
2018-02-28,0.165
2018-05-31,0.165
2018-08-30,0.165
2018-11-29,0.165
2019-02-28,0.165
2019-05-30,0.19
2019-08-29,0.19
2019-11-27,0.19
2020-02-27,0.19
2020-05-28,0.1925
2020-08-31,0.1925
2020-11-27,0.1925
