Date,0
1997-03-26,0.013333334
1997-06-26,0.015
1997-09-26,0.015
1997-12-29,0.016666668
1998-03-27,0.016666668
1998-06-26,0.016666668
1998-09-28,0.016666668
1998-12-29,0.018333333
1999-03-29,0.018333333
1999-06-28,0.018333333
1999-09-28,0.018333333
1999-12-29,0.02
2000-03-29,0.02
2000-06-29,0.02
2000-09-29,0.02
2000-12-27,0.021666666
2001-03-29,0.021666666
2001-07-02,0.021666666
2001-10-03,0.021666666
2001-12-27,0.023333333
2002-03-26,0.023333333
2002-07-03,0.023333333
2002-10-03,0.023333333
2002-12-27,0.025
2003-03-27,0.025
2003-06-26,0.025
2003-10-02,0.025
2003-12-29,0.028333332
2004-03-29,0.028333332
2004-07-01,0.028333332
2004-09-30,0.028333332
2004-12-29,0.033333335
2005-03-29,0.6666667
2005-06-30,0.033333335
2005-09-29,0.033333335
2005-12-28,0.04
2006-03-29,0.04
2006-06-30,0.04
2006-10-02,0.04
2006-12-26,0.05
2007-03-28,0.05
2007-06-27,0.05
2007-10-02,0.05
2007-12-26,0.06666667
2008-03-26,0.06666667
2008-06-26,0.06666667
2008-10-02,0.06666667
2008-12-29,0.07
2009-03-27,0.07
2009-06-26,0.07
2009-10-01,0.07
2009-12-23,1.0
2009-12-29,0.07333333
2010-03-29,0.07333333
2010-06-28,0.07333333
2010-09-28,0.07333333
2010-12-29,0.083333336
2011-03-29,0.083333336
2011-06-28,0.083333336
2011-09-28,0.083333336
2011-12-15,0.6666667
2012-03-28,0.09
2012-06-27,0.09
2012-09-26,0.09
2012-12-04,1.0
2012-12-12,0.096666664
2013-03-26,0.096666664
2013-06-20,0.096666664
2013-09-26,0.1
2013-12-27,0.12
2014-03-27,0.12
2014-06-26,0.12
2014-09-26,0.12
2014-12-29,0.5
2015-03-27,0.15
2015-06-26,0.15
2015-09-28,0.15
2015-12-24,0.18
2016-03-29,0.18
2016-06-28,0.18
2016-09-28,0.18
2016-12-28,0.2
2017-03-29,0.2
2017-06-28,0.2
2017-09-28,0.2
2017-12-22,0.23
2018-03-28,3.0
2018-06-28,0.23
2018-09-27,0.23
2018-12-28,0.26
2019-03-28,0.26
2019-06-27,0.26
2019-09-27,0.26
2019-12-30,0.27
2020-03-30,0.27
2020-07-14,0.27
2020-09-29,0.27
2020-12-30,0.28
