Date,0
1997-02-26,0.06
1997-05-28,0.06
1997-08-27,0.06
1997-11-25,0.06
1998-02-25,0.0625
1998-05-27,0.0625
1998-08-26,0.0625
1998-11-24,0.0625
1999-02-24,0.065
1999-05-26,0.065
1999-08-25,0.065
1999-11-23,0.065
2000-02-23,0.0675
2000-05-24,0.0675
2000-08-23,0.0675
2000-11-21,0.0675
2001-02-21,0.07
2001-05-23,0.07
2001-08-29,0.07
2001-11-28,0.07
2002-02-20,0.0725
2002-06-05,0.0725
2002-08-28,0.0725
2002-11-26,0.0725
2003-02-26,0.075
2003-06-04,0.075
2003-08-27,0.075
2003-11-25,0.075
2004-02-25,0.0775
2004-06-02,0.0775
2004-08-25,0.085
2004-11-23,0.085
2005-03-02,0.08875
2005-06-01,0.08875
2005-08-24,0.08875
2005-11-22,0.08875
2006-03-03,0.09375
2006-06-07,0.09375
2006-08-23,0.09375
2006-11-21,0.09375
2007-02-28,0.1025
2007-06-06,0.1025
2007-08-29,0.1025
2007-11-28,0.1025
2008-02-27,0.11125
2008-06-04,0.11125
2008-08-27,0.11125
2008-11-25,0.11125
2009-02-25,0.118125
2009-06-03,0.118125
2009-08-26,0.118125
2009-11-24,0.118125
2010-02-24,0.125
2010-06-02,0.125
2010-08-25,0.125
2010-11-23,0.125
2011-03-02,0.1375
2011-06-01,0.1375
2011-08-24,0.1375
2011-11-22,0.1375
2012-02-29,0.15
2012-05-31,0.15
2012-08-29,0.15
2012-11-28,0.15
2013-02-27,0.165
2013-05-30,0.165
2013-08-28,0.165
2013-11-26,0.165
2014-02-26,0.18125
2014-05-29,0.18125
2014-08-27,0.18125
2014-11-25,0.18125
2015-02-25,0.1925
2015-05-27,0.1925
2015-08-26,0.1925
2015-11-24,0.1925
2016-02-24,0.2175
2016-05-26,0.2175
2016-08-26,0.2175
2016-11-22,0.2175
2016-11-23,0.87
2017-02-24,0.245625
2017-05-25,0.245625
2017-08-23,0.245625
2017-11-22,0.245625
2018-02-26,0.2775
2018-06-04,0.2775
2018-08-29,0.2775
2018-11-29,0.2775
2019-02-27,0.3125
2019-05-31,0.3125
2019-08-28,0.3125
2019-11-27,0.3125
2020-02-27,0.35
2020-06-01,0.35
2020-08-27,0.35
2020-11-25,0.35
